category	name	action	resource	scope	accessType	isActive
{"ja":"在庫管理"}	{"ja":"仕入先削除"}	delete	supplier	team	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"仕入先削除"}	delete	supplier	all	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"仕入先削除(ゾーン)"}	delete	supplier	zone	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入作成"}	create	stock.purchase	own	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入作成"}	create	stock.purchase	team	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入作成"}	create	stock.purchase	all	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入作成(ゾーン)"}	create	stock.purchase	zone	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入更新(自分の)"}	update	stock.purchase	own	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入更新(チーム)"}	update	stock.purchase	team	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入更新(全て)"}	update	stock.purchase	all	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入更新(ゾーン)"}	update	stock.purchase	zone	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入閲覧(自分の)"}	read	stock.purchase	own	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入閲覧(チーム)"}	read	stock.purchase	team	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入閲覧(全て)"}	read	stock.purchase	all	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入閲覧(ゾーン)"}	read	stock.purchase	zone	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入承認依頼(自分の)"}	request	stock.purchase	own	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入承認依頼(チーム)"}	request	stock.purchase	team	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入承認依頼(全て)"}	request	stock.purchase	all	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入承認依頼(ゾーン)"}	request	stock.purchase	zone	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入承認(自分の)"}	approve	stock.purchase	own	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入承認(チーム)"}	approve	stock.purchase	team	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入承認(全て)"}	approve	stock.purchase	all	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入承認(ゾーン)"}	approve	stock.purchase	zone	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入発注(自分の)"}	order	stock.purchase	own	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入発注(チーム)"}	order	stock.purchase	team	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入発注(全て)"}	order	stock.purchase	all	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入発注(ゾーン)"}	order	stock.purchase	zone	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入完了(自分の)"}	complete	stock.purchase	own	WEB	TRUE
{"ja":"在庫管理"}	{"ja":"在庫仕入完了(チーム)"}	complete	stock.purchase	team	WEB	TRUE
